City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,46.02,scattered clouds,-54.8,-68.3,Albatross Hotel
1,Punta Arenas,CL,46.42,broken clouds,-53.15,-70.9167,Hotel Hain
5,Jamestown,US,44.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Aksha,RU,30.2,overcast clouds,50.2814,113.2867,Vizit
7,Bredasdorp,ZA,58.08,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
10,Nanortalik,GL,39.51,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
15,Ancud,CL,49.46,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
17,Grindavik,IS,52.27,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
19,Fort Nelson,CA,33.39,light snow,58.8053,-122.7002,The Fort Nelson Hotel
25,Port Lincoln,AU,62.26,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
27,Busselton,AU,57.33,broken clouds,-33.65,115.3333,Observatory Guest House
28,Kaitangata,NZ,43.65,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
30,Chunskiy,RU,37.51,overcast clouds,56.0815,99.6342,Odisseya
31,Dauphin,CA,37.54,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
32,Tasiilaq,GL,39.36,clear sky,65.6145,-37.6368,The Red House
34,Qaanaaq,GL,30.09,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
37,Severo-Kurilsk,RU,32.68,light snow,50.6789,156.125,Kak Doma
40,Cape Town,ZA,60.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
41,Nola,IT,66.61,clear sky,40.922,14.5329,Palazzo Giordano Bruno
51,Sioux Falls,US,55.58,overcast clouds,43.55,-96.7003,"Holiday Inn Sioux Falls-City Centre, an IHG Hotel"
52,Mataura,NZ,40.68,few clouds,-46.1927,168.8643,Ellie's Villa
55,Hermanus,ZA,60.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
58,Port Elizabeth,ZA,60.31,clear sky,-33.918,25.5701,39 On Nile Guest House
60,Bluff,NZ,47.26,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
65,Madawaska,US,34.0,snow,47.3561,-68.3288,Best Western Plus Edmundston Hotel
67,Hasaki,JP,54.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
70,Marshfield,US,48.18,clear sky,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
71,Durban,ZA,69.03,clear sky,-29.8579,31.0292,Hilton Durban
73,Casper,US,63.72,clear sky,42.8666,-106.3131,Ramkota Hotel
80,Skaudvile,LT,38.3,few clouds,55.4167,22.6167,"Laimes Ratas, Sodyba"
87,Sirjan,IR,66.58,clear sky,29.452,55.6814,MAPNA Building
88,Altay,CN,42.8,clear sky,47.8667,88.1167,Jinqiao Hotel
