City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.02,70,40,35.68,scattered clouds
1,Punta Arenas,CL,-53.15,-70.9167,46.42,76,75,24.16,broken clouds
2,Podyuga,RU,61.095,40.8647,27.99,77,100,5.97,overcast clouds
3,Saint-Philippe,RE,-21.3585,55.7679,75.22,81,23,6.96,few clouds
4,Yar-Sale,RU,66.8333,70.8333,15.08,85,100,4.83,overcast clouds
5,Jamestown,US,42.097,-79.2353,44.02,37,0,11.5,clear sky
6,Aksha,RU,50.2814,113.2867,30.2,67,99,16.11,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,58.08,93,16,3.51,few clouds
8,Anadyr,RU,64.75,177.4833,23.5,93,100,4.47,fog
9,Vaini,TO,-21.2,-175.2,77.16,73,20,10.36,few clouds
10,Nanortalik,GL,60.1432,-45.2371,39.51,80,100,1.72,overcast clouds
11,Sao Filipe,CV,14.8961,-24.4956,72.72,70,3,11.23,clear sky
12,Wagar,SD,16.1525,36.2032,90.75,31,28,15.88,scattered clouds
13,Ilebo,CD,-4.3167,20.5833,76.51,78,100,1.21,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,76.19,74,31,22.79,light rain
15,Ancud,CL,-41.8697,-73.8203,49.46,67,100,1.77,overcast clouds
16,Kapaa,US,22.0752,-159.319,78.78,84,75,12.66,broken clouds
17,Grindavik,IS,63.8424,-22.4338,52.27,66,40,13.8,scattered clouds
18,Kikwit,CD,-5.041,18.8162,73.09,85,13,1.61,few clouds
19,Fort Nelson,CA,58.8053,-122.7002,33.39,93,100,12.66,light snow
20,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,85,100,12.66,light snow
21,Hilo,US,19.7297,-155.09,82.27,78,40,5.99,scattered clouds
22,Luderitz,NA,-26.6481,15.1594,62.35,67,0,7.18,clear sky
23,Pangnirtung,CA,66.1451,-65.7125,21.2,68,100,21.85,overcast clouds
24,Pokhara,NP,28.2333,83.9833,74.73,36,2,6.58,clear sky
25,Port Lincoln,AU,-34.7333,135.8667,62.26,88,100,9.51,overcast clouds
26,Vostok,RU,46.4856,135.8833,27.45,83,1,3.44,clear sky
27,Busselton,AU,-33.65,115.3333,57.33,74,51,6.51,broken clouds
28,Kaitangata,NZ,-46.2817,169.8464,43.65,95,13,3.49,few clouds
29,Zabol,AF,32.25,67.25,70.83,23,100,3.2,overcast clouds
30,Chunskiy,RU,56.0815,99.6342,37.51,99,100,0.36,overcast clouds
31,Dauphin,CA,51.1494,-100.0502,37.54,81,100,12.66,overcast clouds
32,Tasiilaq,GL,65.6145,-37.6368,39.36,83,7,6.85,clear sky
33,Kahului,US,20.8947,-156.47,78.82,67,20,13.0,few clouds
34,Qaanaaq,GL,77.484,-69.3632,30.09,75,100,4.05,overcast clouds
35,Atuona,PF,-9.8,-139.0333,78.64,78,68,21.16,light rain
36,Dingle,PH,10.9995,122.6711,76.68,91,100,6.91,overcast clouds
37,Severo-Kurilsk,RU,50.6789,156.125,32.68,94,100,19.69,light snow
38,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,20,4.61,few clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,80.56,75,18,9.82,few clouds
40,Cape Town,ZA,-33.9258,18.4232,60.91,86,0,9.22,clear sky
41,Nola,IT,40.922,14.5329,66.61,48,1,5.01,clear sky
42,Pevek,RU,69.7008,170.3133,18.39,98,100,1.48,overcast clouds
43,Mahebourg,MU,-20.4081,57.7,75.25,94,20,4.61,few clouds
44,Kimbe,PG,-5.5502,150.1429,75.42,93,54,2.55,broken clouds
45,Khatanga,RU,71.9667,102.5,9.34,95,94,7.11,overcast clouds
46,Bandar-E Lengeh,IR,26.5579,54.8807,84.31,42,99,6.91,overcast clouds
47,Cap Malheureux,MU,-19.9842,57.6142,75.47,78,0,1.99,clear sky
48,Maragogi,BR,-9.0122,-35.2225,81.05,77,90,10.74,overcast clouds
49,Dikson,RU,73.5069,80.5464,12.18,90,89,21.61,overcast clouds
50,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,6.91,scattered clouds
51,Sioux Falls,US,43.55,-96.7003,55.58,57,100,21.85,overcast clouds
52,Mataura,NZ,-46.1927,168.8643,40.68,99,16,1.59,few clouds
53,Avarua,CK,-21.2078,-159.775,77.05,88,40,4.61,light rain
54,Georgetown,MY,5.4112,100.3354,82.35,83,40,3.44,thunderstorm
55,Hermanus,ZA,-34.4187,19.2345,60.8,83,100,8.46,overcast clouds
56,San Patricio,US,28.017,-97.5169,87.19,53,19,18.05,few clouds
57,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,91.33,58,40,9.22,scattered clouds
58,Port Elizabeth,ZA,-33.918,25.5701,60.31,76,0,3.44,clear sky
59,Nata,PA,8.3333,-80.5167,84.07,69,99,10.04,overcast clouds
60,Bluff,NZ,-46.6,168.3333,47.26,88,55,6.08,broken clouds
61,Arlit,NE,18.7369,7.3853,85.8,5,0,9.71,clear sky
62,Tupaciguara,BR,-18.5922,-48.705,83.95,31,0,4.25,clear sky
63,Barrow,US,71.2906,-156.7887,6.82,78,100,17.27,overcast clouds
